organ,gene,score_signed,score_abs,rank
kidney,gene_262,-0.0007134653207786097,0.0007134653207786097,748
kidney,gene_934,-0.0007127996660072398,0.0007127996660072398,749
kidney,gene_693,0.0007126766810100691,0.0007126766810100691,750
kidney,gene_370,0.0007117407636735645,0.0007117407636735645,751
kidney,gene_42,0.0007102890371786881,0.0007102890371786881,752
kidney,gene_832,0.0007071519813059243,0.0007071519813059243,753
kidney,gene_807,0.0007046218950243241,0.0007046218950243241,754
kidney,gene_585,0.0007035796319464678,0.0007035796319464678,755
kidney,gene_916,-0.0006967800726749341,0.0006967800726749341,756
kidney,gene_851,0.000696653590970647,0.000696653590970647,757
kidney,gene_686,0.0006961952437605061,0.0006961952437605061,758
kidney,gene_421,0.0006936965487517629,0.0006936965487517629,759
kidney,gene_2,-0.0006918660598880453,0.0006918660598880453,760
kidney,gene_971,-0.0006917734144367645,0.0006917734144367645,761
kidney,gene_473,-0.0006838609028454118,0.0006838609028454118,762
kidney,gene_817,0.00068241817210879,0.00068241817210879,763
kidney,gene_569,-0.0006807852543189545,0.0006807852543189545,764
kidney,gene_92,0.0006684747660511419,0.0006684747660511419,765
kidney,gene_577,-0.0006669555302197332,0.0006669555302197332,766
kidney,gene_574,-0.0006666782141021713,0.0006666782141021713,767
kidney,gene_999,-0.0006663878741929402,0.0006663878741929402,768
kidney,gene_697,0.0006626914844520579,0.0006626914844520579,769
kidney,gene_51,0.0006625501726182951,0.0006625501726182951,770
kidney,gene_1022,-0.000662427528531121,0.000662427528531121,771
kidney,gene_447,0.0006615770381900524,0.0006615770381900524,772
kidney,gene_20,0.0006613648298400147,0.0006613648298400147,773
kidney,gene_60,-0.0006607088640756626,0.0006607088640756626,774
kidney,gene_941,0.0006600778605021544,0.0006600778605021544,775
kidney,gene_72,-0.0006575508745518955,0.0006575508745518955,776
kidney,gene_390,0.0006566732574088109,0.0006566732574088109,777
kidney,gene_174,0.0006561534134623618,0.0006561534134623618,778
kidney,gene_843,0.0006527523860282343,0.0006527523860282343,779
kidney,gene_475,-0.0006501905546668849,0.0006501905546668849,780
kidney,gene_125,-0.0006491774624558374,0.0006491774624558374,781
kidney,gene_726,0.0006489026819343212,0.0006489026819343212,782
kidney,gene_509,-0.0006447233230445802,0.0006447233230445802,783
kidney,gene_667,0.0006423061084016865,0.0006423061084016865,784
kidney,gene_994,-0.0006419721956564238,0.0006419721956564238,785
kidney,gene_483,-0.0006407351122536363,0.0006407351122536363,786
kidney,gene_57,-0.0006369563421218761,0.0006369563421218761,787
kidney,gene_539,0.0006343128248867591,0.0006343128248867591,788
kidney,gene_39,0.0006302829382282903,0.0006302829382282903,789
kidney,gene_332,-0.0006280214845301281,0.0006280214845301281,790
kidney,gene_379,0.0006189450588565911,0.0006189450588565911,791
kidney,gene_1012,-0.0006174228999007469,0.0006174228999007469,792
kidney,gene_115,0.0006148855908978999,0.0006148855908978999,793
kidney,gene_159,-0.0006133554596066382,0.0006133554596066382,794
kidney,gene_865,0.0006121286474491073,0.0006121286474491073,795
kidney,gene_41,-0.0006094342010327382,0.0006094342010327382,796
kidney,gene_204,0.000609274256264673,0.000609274256264673,797
kidney,gene_326,0.0006048960007730707,0.0006048960007730707,798
kidney,gene_242,0.0006026431258864395,0.0006026431258864395,799
kidney,gene_169,0.0006014025556200982,0.0006014025556200982,800
kidney,gene_599,-0.0006004927333328389,0.0006004927333328389,801
kidney,gene_56,-0.0005994865607974599,0.0005994865607974599,802
kidney,gene_981,-0.0005990563340385251,0.0005990563340385251,803
kidney,gene_106,0.0005979634382455578,0.0005979634382455578,804
kidney,gene_504,0.000591323738401085,0.000591323738401085,805
kidney,gene_258,0.0005896553863038512,0.0005896553863038512,806
kidney,gene_775,0.0005892285580904489,0.0005892285580904489,807
kidney,gene_459,-0.0005829360152714096,0.0005829360152714096,808
kidney,gene_713,0.0005735655576593986,0.0005735655576593986,809
kidney,gene_463,-0.0005701925146795823,0.0005701925146795823,810
kidney,gene_985,-0.0005697541977511135,0.0005697541977511135,811
kidney,gene_517,0.0005615758860943426,0.0005615758860943426,812
kidney,gene_40,-0.0005611447689664833,0.0005611447689664833,813
kidney,gene_513,0.0005609880720646924,0.0005609880720646924,814
kidney,gene_448,-0.0005590510079058019,0.0005590510079058019,815
kidney,gene_426,-0.0005583803867920073,0.0005583803867920073,816
kidney,gene_402,-0.0005560794880665209,0.0005560794880665209,817
kidney,gene_93,0.0005502837384197309,0.0005502837384197309,818
kidney,gene_388,0.0005479682395203931,0.0005479682395203931,819
kidney,gene_451,-0.0005456627494052116,0.0005456627494052116,820
kidney,gene_77,0.0005441170588290304,0.0005441170588290304,821
kidney,gene_780,0.0005426815720659828,0.0005426815720659828,822
kidney,gene_351,-0.0005390317933794637,0.0005390317933794637,823
kidney,gene_1003,0.0005315202576454046,0.0005315202576454046,824
kidney,gene_568,0.0005234015814708799,0.0005234015814708799,825
kidney,gene_909,0.0005213404016788312,0.0005213404016788312,826
kidney,gene_785,-0.0005186940557088556,0.0005186940557088556,827
kidney,gene_435,-0.0005102746183971765,0.0005102746183971765,828
kidney,gene_113,0.0005086279628902171,0.0005086279628902171,829
kidney,gene_862,0.0005085947388046976,0.0005085947388046976,830
kidney,gene_208,0.0005078050868685773,0.0005078050868685773,831
kidney,gene_782,-0.000507699726716139,0.000507699726716139,832
kidney,gene_519,0.000507080206863502,0.000507080206863502,833
kidney,gene_605,0.0005067864910289297,0.0005067864910289297,834
kidney,gene_272,-0.0005041263874855873,0.0005041263874855873,835
kidney,gene_310,-0.0005010331613084123,0.0005010331613084123,836
kidney,gene_365,-0.0004989065401831924,0.0004989065401831924,837
kidney,gene_652,-0.0004967408295920692,0.0004967408295920692,838
kidney,gene_884,0.0004921664589157463,0.0004921664589157463,839
kidney,gene_947,0.0004835206615397801,0.0004835206615397801,840
kidney,gene_330,0.0004824757080108109,0.0004824757080108109,841
kidney,gene_94,-0.0004798010189215941,0.0004798010189215941,842
kidney,gene_561,-0.0004778800995972887,0.0004778800995972887,843
kidney,gene_239,0.0004778624770496577,0.0004778624770496577,844
kidney,gene_723,-0.00047672945094915644,0.00047672945094915644,845
kidney,gene_446,-0.00047656688565842994,0.00047656688565842994,846
kidney,gene_450,0.0004728895795527348,0.0004728895795527348,847
kidney,gene_71,0.00047187204897554576,0.00047187204897554576,848
