organ,gene,score_signed,score_abs,rank
brain_cortex,gene_931,0.005993390059677785,0.005993390059677785,1
brain_cortex,gene_919,0.005588799102324146,0.005588799102324146,2
brain_cortex,gene_891,-0.005545805331015834,0.005545805331015834,3
brain_cortex,gene_11,-0.005536035091256396,0.005536035091256396,4
brain_cortex,gene_819,0.00546519600374537,0.00546519600374537,5
brain_cortex,gene_826,-0.005260630560197922,0.005260630560197922,6
brain_cortex,gene_998,0.005153408526127667,0.005153408526127667,7
brain_cortex,gene_205,0.00503510097241943,0.00503510097241943,8
brain_cortex,gene_135,0.00493336020495353,0.00493336020495353,9
brain_cortex,gene_65,0.004860364648227951,0.004860364648227951,10
brain_cortex,gene_757,0.004846838556875123,0.004846838556875123,11
brain_cortex,gene_217,0.004779480492106892,0.004779480492106892,12
brain_cortex,gene_670,0.004771661448487238,0.004771661448487238,13
brain_cortex,gene_333,0.004654803222546026,0.004654803222546026,14
brain_cortex,gene_462,0.004621796299201319,0.004621796299201319,15
brain_cortex,gene_464,0.004564204100398781,0.004564204100398781,16
brain_cortex,gene_202,-0.004489615247830474,0.004489615247830474,17
brain_cortex,gene_547,0.004409346689900706,0.004409346689900706,18
brain_cortex,gene_394,0.004212466275687776,0.004212466275687776,19
brain_cortex,gene_478,0.004185025881175889,0.004185025881175889,20
brain_cortex,gene_764,0.004139054611966008,0.004139054611966008,21
brain_cortex,gene_596,0.004137639578489401,0.004137639578489401,22
brain_cortex,gene_590,0.0041134976908905755,0.0041134976908905755,23
brain_cortex,gene_908,0.004047374892522703,0.004047374892522703,24
brain_cortex,gene_25,-0.004037162322259269,0.004037162322259269,25
brain_cortex,gene_800,0.004028783260098144,0.004028783260098144,26
brain_cortex,gene_783,-0.003991927603528973,0.003991927603528973,27
brain_cortex,gene_518,-0.0039906370128445405,0.0039906370128445405,28
brain_cortex,gene_628,0.003965734879197449,0.003965734879197449,29
brain_cortex,gene_294,-0.003956120786634437,0.003956120786634437,30
