organ,gene,score_signed,score_abs,rank
liver,gene_795,0.0036387441700712546,0.0036387441700712546,118
liver,gene_655,-0.0036370800203553494,0.0036370800203553494,119
liver,gene_15,0.003612264441260231,0.003612264441260231,120
liver,gene_129,-0.0036110660433640107,0.0036110660433640107,121
liver,gene_29,-0.0036021532101384334,0.0036021532101384334,122
liver,gene_987,0.0035933710207811114,0.0035933710207811114,123
liver,gene_977,-0.0035872008620880993,0.0035872008620880993,124
liver,gene_149,-0.0035824688229358424,0.0035824688229358424,125
liver,gene_163,0.003573012994811702,0.003573012994811702,126
liver,gene_638,-0.0035648587769594566,0.0035648587769594566,127
liver,gene_81,0.0035502700821341427,0.0035502700821341427,128
liver,gene_399,0.003545486522288856,0.003545486522288856,129
liver,gene_171,0.003545435008100836,0.003545435008100836,130
liver,gene_96,0.0035389744262310863,0.0035389744262310863,131
liver,gene_684,0.0035182813805243224,0.0035182813805243224,132
liver,gene_146,-0.0035087352803958934,0.0035087352803958934,133
liver,gene_244,0.003475499832034554,0.003475499832034554,134
liver,gene_383,0.003467948519759797,0.003467948519759797,135
liver,gene_598,0.0034629207118074454,0.0034629207118074454,136
liver,gene_217,0.0034589251357950816,0.0034589251357950816,137
liver,gene_151,0.0034547679525748897,0.0034547679525748897,138
liver,gene_490,0.003451066352106882,0.003451066352106882,139
liver,gene_124,-0.00344955299087951,0.00344955299087951,140
liver,gene_536,-0.0034412914235423682,0.0034412914235423682,141
liver,gene_648,0.003431009088187127,0.003431009088187127,142
liver,gene_524,-0.003430883729701769,0.003430883729701769,143
liver,gene_128,-0.003429392219788443,0.003429392219788443,144
liver,gene_543,0.003424732222739795,0.003424732222739795,145
liver,gene_582,0.003414603598942291,0.003414603598942291,146
liver,gene_302,-0.003409125329662279,0.003409125329662279,147
liver,gene_922,-0.0033916449464470788,0.0033916449464470788,148
liver,gene_800,0.003388153536265685,0.003388153536265685,149
liver,gene_855,0.003382792194910638,0.003382792194910638,150
liver,gene_175,0.0033753824102634813,0.0033753824102634813,151
liver,gene_730,0.0033521623097108985,0.0033521623097108985,152
liver,gene_186,0.003351200708855173,0.003351200708855173,153
liver,gene_471,-0.0033286702110838376,0.0033286702110838376,154
liver,gene_50,0.003327396263722344,0.003327396263722344,155
liver,gene_642,0.0033203202076159417,0.0033203202076159417,156
liver,gene_340,0.0033050787825333015,0.0033050787825333015,157
liver,gene_445,-0.0032974420354153116,0.0032974420354153116,158
liver,gene_216,-0.00329464376069889,0.00329464376069889,159
liver,gene_915,0.0032903097266007144,0.0032903097266007144,160
liver,gene_542,-0.003275329040677235,0.003275329040677235,161
liver,gene_968,0.0032681750761415908,0.0032681750761415908,162
liver,gene_825,0.0032534527618375986,0.0032534527618375986,163
liver,gene_990,0.003251607272661896,0.003251607272661896,164
liver,gene_298,0.0032445476268525616,0.0032445476268525616,165
liver,gene_520,-0.0032386016795991615,0.0032386016795991615,166
liver,gene_751,-0.0032352521517422673,0.0032352521517422673,167
liver,gene_101,-0.0032296834676958704,0.0032296834676958704,168
liver,gene_153,-0.0032245385325353924,0.0032245385325353924,169
liver,gene_787,0.0031962570616920743,0.0031962570616920743,170
liver,gene_1023,0.003194375628944054,0.003194375628944054,171
liver,gene_835,0.003178855305116246,0.003178855305116246,172
liver,gene_866,-0.0031711473182893975,0.0031711473182893975,173
liver,gene_689,0.0031677086886872977,0.0031677086886872977,174
liver,gene_900,-0.003167629521551304,0.003167629521551304,175
liver,gene_176,-0.0031509357010557097,0.0031509357010557097,176
liver,gene_178,0.0031386606564443847,0.0031386606564443847,177
liver,gene_419,-0.0031166972880130395,0.0031166972880130395,178
liver,gene_252,0.0031152210238524253,0.0031152210238524253,179
liver,gene_596,0.0031063908026669616,0.0031063908026669616,180
liver,gene_70,0.0031010558509036662,0.0031010558509036662,181
liver,gene_494,-0.0030960059780726335,0.0030960059780726335,182
liver,gene_76,0.0030956670737596306,0.0030956670737596306,183
liver,gene_758,0.003087267272507726,0.003087267272507726,184
liver,gene_28,0.003085084747468124,0.003085084747468124,185
liver,gene_282,-0.0030850551329002504,0.0030850551329002504,186
liver,gene_349,0.0030631539588297403,0.0030631539588297403,187
liver,gene_721,0.0030582756702103578,0.0030582756702103578,188
liver,gene_269,0.003058248042509908,0.003058248042509908,189
liver,gene_954,0.0030544849258457513,0.0030544849258457513,190
liver,gene_443,0.0030470455944882516,0.0030470455944882516,191
liver,gene_289,0.003046586131715369,0.003046586131715369,192
liver,gene_696,-0.003033476550139605,0.003033476550139605,193
liver,gene_223,0.003026049515637715,0.003026049515637715,194
liver,gene_267,0.0030205281382358756,0.0030205281382358756,195
liver,gene_749,-0.0030136226456947443,0.0030136226456947443,196
liver,gene_253,-0.0030108663921262872,0.0030108663921262872,197
liver,gene_890,-0.0030095879049045027,0.0030095879049045027,198
liver,gene_746,0.0030085966392975902,0.0030085966392975902,199
liver,gene_753,-0.0029960417179373602,0.0029960417179373602,200
liver,gene_759,0.002989929529934183,0.002989929529934183,201
liver,gene_656,0.0029885653955399327,0.0029885653955399327,202
liver,gene_747,-0.0029880895350172386,0.0029880895350172386,203
liver,gene_698,0.0029663686773560797,0.0029663686773560797,204
liver,gene_980,0.0029584745069931753,0.0029584745069931753,205
liver,gene_613,0.002944573747007551,0.002944573747007551,206
liver,gene_25,-0.002936206601649269,0.002936206601649269,207
liver,gene_665,-0.0029334125246281133,0.0029334125246281133,208
liver,gene_495,-0.0029241922954076046,0.0029241922954076046,209
liver,gene_650,0.0029238034081462555,0.0029238034081462555,210
liver,gene_938,0.002921013343753499,0.002921013343753499,211
liver,gene_654,-0.002914400560031506,0.002914400560031506,212
liver,gene_334,-0.0029136244691657137,0.0029136244691657137,213
liver,gene_103,-0.002911622373951761,0.002911622373951761,214
liver,gene_414,0.0029081023592332765,0.0029081023592332765,215
liver,gene_659,-0.0029070299067511965,0.0029070299067511965,216
liver,gene_420,0.0029049898155394573,0.0029049898155394573,217
liver,gene_1016,-0.0029027092391649316,0.0029027092391649316,218
liver,gene_142,0.002902239891171512,0.002902239891171512,219
liver,gene_16,-0.0029016351414710723,0.0029016351414710723,220
liver,gene_456,0.0029014005264863443,0.0029014005264863443,221
liver,gene_189,0.0028985069182063906,0.0028985069182063906,222
liver,gene_46,0.002877595550356922,0.002877595550356922,223
liver,gene_898,0.0028495932313102068,0.0028495932313102068,224
